SAMPLE_NAME,SAMPLE_HEIGHT,OrgC
EA2110_73.5_A,173.5,0.064
EA2110_73.5_B,173.5,
EA2110_73.8_A,173.8,0.094
EA2110_73.8_B,173.8,
EA2001-5.1a,173.9,
EA2110_74.1_A,174.1,
EA2110_74.1_B,174.1,
EA2110_74.4_A,174.4,0.143
EA2110_74.4_B,174.4,
EA2110_74.7_A,174.7,0.03
EA2110_74.7_B,174.7,
EA2110_75.0_A,175,0.031
EA2110_75.0_B,175,
EA2001-6.2a,175,
EA2001-6.2b,175,
EA2110_75.3_A,175.3,0.012
EA2110_75.3_B,175.3,
EA2110_75.4_A,175.4,0.075
EA2110_75.4_B,175.4,
EA2110_75.6_A,175.6,0.033
EA2110_75.6_B,175.6,
EA2110_75.9_A,175.9,0.065
EA2110_75.9_B,175.9,
EA2001-7.2,176,
EA2110_76.2_A,176.2,0.03
EA2110_76.2_B,176.2,
EA2001-7.5,176.3,
EA2110_76.5_A,176.5,0.083
EA2110_76.5_B,176.5,
EA2110_76.8_A,176.8,0.018
EA2110_77.1_A,177.1,0.079
EA2110_77.1_B,177.1,
EA2110_77.4_A,177.4,0.119
EA2110_77.4_B,177.4,
EA2001-8.7a,177.5,
EA2001-8.7b,177.5,
EA2110_77.7_A,177.7,0.117
EA2110_77.7_B,177.7,
EA2001-9.1,177.9,
EA2110_78.0_A,178,0.153
EA2110_78.0_B,178,
EA2110_78.3_A,178.3,0.192
EA2110_78.3_B,178.3,
178.313253,178.313253,
EA2110_78.6_A,178.6,0.13
EA2110_78.6_B,178.6,
EA2001-9.9a,178.7,
EA2001-9.9b,178.7,
178.8915663,178.8915663,
EA2110_78.9_A,178.9,0.122
EA2110_78.9_B,178.9,0.142
EA2001-10.3,179.1,
EA2001-10.3a,179.1,
EA2001-10.3b,179.1,
EA2110_79.2_A,179.2,0.127
EA2110_79.2_B,179.2,
EA2110_79.5_A,179.5,0.124
EA2110_79.5_B,179.5,
179.7590361,179.7590361,
EA2110_79.8_A,179.8,0.127
EA2110_79.8_B,179.8,
EA2110_80.1_A,180.1,0.127
EA2110_80.1_B,180.1,
180.3373494,180.3373494,
EA2110_80.4_A,180.4,0.127
EA2110_80.4_B,180.4,
180.626506,180.626506,
180.9156627,180.9156627,
EA2110_81.0_A,181,0.125
EA2110_81.0_B,181,
EA2110_81.3_A,181.3,0.159
EA2110_81.3_B,181.3,
181.4939759,181.4939759,
EA2110_81.6_A,181.6,0.136
EA2110_81.6_B,181.6,
181.7831325,181.7831325,
EA2001-13.0,181.8,
EA2110_81.9_A,181.9,0.138
EA2110_81.9_B,181.9,
EA2110_82.2_A,182.2,0.162
EA2110_82.2_B,182.2,
EA2001-13.5,182.3,
182.3614458,182.3614458,
EA2110_82.5_A,182.5,0.127
EA2110_82.5_B,182.5,
182.6506024,182.6506024,
EA2110_82.8_A,182.8,
EA2110_82.8_B,182.8,
EA2110_83.1_A,183.1,
EA2110_83.1_B,183.1,
183.2289157,183.2289157,
EA2110_83.4_A,183.4,
EA2110_83.4_B,183.4,
183.5180723,183.5180723,
EA2110_83.7_A,183.7,
EA2110_83.7_B,183.7,
EA2110_84.0_A,184,
EA2110_84.0_B,184,
184.0963855,184.0963855,
EA2110_84.3_A,184.3,
EA2110_84.3_B,184.3,
EA2110_84.6_A,184.6,
EA2110_84.6_B,184.6,
184.6746988,184.6746988,
EA2110_84.9_A,184.9,0.306
EA2110_84.9_B,184.9,
EA2110_85.2_A,185.2,
EA2110_85.2_B,185.2,
EA2110_85.5_A,185.5,0.148
EA2110_85.5_B,185.5,
185.5421687,185.5421687,
185.5421687,185.5421687,
EA2110_85.8_A,185.8,0.162
EA2110_85.8_B,185.8,
EA2110_86.1_A,186.1,0.061
EA2110_86.1_B,186.1,
EA2110_86.4_A,186.4,0.081
EA2110_86.4_B,186.4,
186.4096386,186.4096386,
EA2110_86.7_A,186.7,0.129
EA2110_86.7_B,186.7,
186.9879518,186.9879518,
EA2110_87.0_A,187,0.238
EA2110_87.0_B,187,
187.2771084,187.2771084,
EA2110_87.3_A,187.3,0.146
EA2110_87.3_B,187.3,
EA2110_87.6_A,187.6,0.17
EA2110_87.6_B,187.6,
EA2110_87.9_A,187.9,0.166
EA2110_87.9_B,187.9,
188.1445783,188.1445783,
EA2110_88.2_A,188.2,0.117
EA2110_88.2_B,188.2,
EA2001-19.4a,188.2,
EA2001-19.4b,188.2,
EA2110_88.5_A,188.5,0.105
EA2110_88.5_B,188.5,
188.7228916,188.7228916,
EA2110_88.8_A,188.8,0.126
EA2110_88.8_B,188.8,
EA2110_89.1_A,189.1,0.133
EA2110_89.1_B,189.1,
EA2110_89.4_A,189.4,0.06
EA2110_89.4_B,189.4,
189.5903614,189.5903614,
189.5903614,189.5903614,
EA2110_89.7_A,189.7,0.074
EA2110_89.7_B,189.7,
189.8795181,189.8795181,
EA2110_90.0_A,190,0.085
EA2110_90.0_B,190,
EA2110_90.0_B,190,
EA2001-21.2,190,
190.1686747,190.1686747,
190.1686747,190.1686747,
EA2001-21.6,190.4,
190.4578313,190.4578313,
EA2110_90.9_A,190.9,
EA2110_90.9_B,190.9,
191.0361446,191.0361446,
EA2110_91.2_A,191.2,0.16
EA2110_91.2_B,191.2,
EA2001-22.4,191.2,
191.3253012,191.3253012,
EA2110_91.5_A,191.5,0.104
EA2110_91.5_B,191.5,
EA2110_91.8_A,191.8,0.219
EA2110_91.8_B,191.8,
EA2001-23.2,192,
EA2110_92.1_A,192.1,0.192
EA2110_92.1_B,192.1,
192.1927711,192.1927711,
EA2110_92.4_A,192.4,0.116
EA2110_92.4_B,192.4,
